Date,AAL.L,ABF.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BHP.L,BLND.L,BP.L,BT-A.L,CCL.L,CNA.L,CNE.L,CPG.L,CPI.L,DGE.L,EMG.L,GSK.L,HMSO.L,HSBA.L,IHG.L,III.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RR.L,SBRY.L,SGE.L,SHP.L,SMIN.L,SN.L,SSE.L,STAN.L,SVT.L,TATE.L,TSCO.L,ULVR.L,UU.L,VED.L,VOD.L,WPP.L,WTB.L,XTA.L
2005-09-30,1800.8929443359375,819.3781127929688,309.0898132324219,608.2152099609375,2614.91845703125,340.82257080078125,526.195556640625,1178.63623046875,907.7967529296875,772.3413696289062,666.563720703125,220.2592010498047,2919.6474609375,217.18333435058594,162.68283081054688,226.8041229248047,3527.7685546875,810.5261840820312,311.5327453613281,1435.919677734375,2865.72998046875,791.269775390625,1476.8714599609375,578.5391845703125,112.27870178222656,1305.222900390625,214.49868774414062,1389.7635498046875,112.19865417480469,301.4275207519531,353.430908203125,508.7600402832031,1384.62158203125,423.5791320800781,851.0320434570312,654.313720703125,620.5960083007812,1897.2554931640625,127.77930450439453,277.188232421875,241.2560577392578,6.51411247253418,1429.5823974609375,474.20068359375,1018.0137939453125,976.4417114257812,1473.5484619140625,525.7033081054688,389.7539978027344,1306.5035400390625,648.5278930664062,3.8438446521759033,173.13299560546875,573.1895141601562,1069.142578125,1469.0
2005-10-03,1775.318115234375,819.3781127929688,306.30181884765625,611.146484375,2635.758544921875,341.56671142578125,538.5927734375,1183.5841064453125,889.4623413085938,776.0365600585938,666.563720703125,221.4980010986328,2963.4765625,217.62486267089844,162.68283081054688,219.6563262939453,3586.292236328125,825.94140625,311.3446044921875,1452.8475341796875,2858.0380859375,796.4473876953125,1494.379638671875,580.0137939453125,111.28507995605469,1308.532958984375,215.98831176757812,1399.15966796875,112.9400863647461,302.71832275390625,358.3821105957031,512.1098022460938,1381.636962890625,424.8143005371094,862.4389038085938,658.7817993164062,628.8782958984375,1889.070556640625,129.6609649658203,278.6759948730469,240.20938110351562,6.518808841705322,1445.9803466796875,477.18927001953125,1019.9922485351562,993.2078247070312,1491.3919677734375,530.0435180664062,393.53192138671875,1315.3316650390625,650.5078125,3.770170211791992,172.89828491210938,573.6863403320312,1080.9658203125,1449.0
2005-10-04,1767.85888671875,824.8569946289062,305.10675048828125,611.6347045898438,2680.416259765625,335.6133728027344,538.1339721679688,1187.54296875,884.5070190429688,786.7124633789062,648.74951171875,221.4980010986328,2984.39501953125,218.9490966796875,162.68283081054688,214.70790100097656,3609.703857421875,835.38916015625,310.4040222167969,1451.851806640625,2845.733154296875,795.1527709960938,1486.140380859375,581.1256103515625,112.77549743652344,1309.635986328125,213.0091552734375,1400.1002197265625,110.22159576416016,303.84796142578125,360.26849365234375,514.5032958984375,1375.6688232421875,428.10736083984375,859.9591064453125,657.7888793945312,629.4697875976562,1888.251708984375,130.68724060058594,282.1468811035156,240.47109985351562,6.493455410003662,1449.7064208984375,478.18560791015625,1028.896484375,987.6192016601562,1510.72216796875,533.2257080078125,395.1061706542969,1329.6763916015625,654.468505859375,3.7445449829101562,176.65440368652344,578.156494140625,1098.9822998046875,1464.0
2005-10-05,1695.3963623046875,826.8497314453125,293.15753173828125,607.7266235351562,2731.02734375,332.6368103027344,528.0322875976562,1181.6048583984375,850.3160400390625,778.089599609375,627.9658813476562,221.0024871826172,2902.712890625,218.06626892089844,162.68283081054688,218.28187561035156,3558.19873046875,836.3836059570312,310.78021240234375,1445.8778076171875,2845.733154296875,786.0921630859375,1483.050537109375,575.5900268554688,111.53348541259766,1295.2930908203125,213.5056610107422,1382.2462158203125,110.46873474121094,300.1365051269531,356.9676208496094,510.67431640625,1352.791015625,419.46295166015625,839.6256713867188,654.8101806640625,625.9209594726562,1812.1328125,130.174072265625,280.9073181152344,236.54617309570312,6.51411247253418,1435.54541015625,478.18560791015625,1019.9922485351562,963.6671142578125,1510.72216796875,533.51513671875,389.7539978027344,1307.60791015625,650.5078125,3.5843842029571533,177.00645446777344,562.26220703125,1122.0655517578125,1389.0
2005-10-06,1758.267822265625,811.4083862304688,298.1363830566406,601.3758544921875,2731.02734375,331.3965148925781,522.0631713867188,1166.7603759765625,847.3427734375,763.718505859375,614.1096801757812,217.5338592529297,2864.860595703125,216.5212860107422,162.68283081054688,215.53269958496094,3518.404296875,825.94140625,310.0276184082031,1447.8692626953125,2774.973388671875,777.032470703125,1455.24365234375,567.10595703125,110.53985595703125,1273.226806640625,212.26429748535156,1363.452880859375,107.7502670288086,295.9411315917969,355.7886047363281,503.9737548828125,1334.8865966796875,413.2882385253906,835.657958984375,645.3779907226562,622.962646484375,1857.96826171875,128.03587341308594,277.6842041015625,233.14442443847656,6.433356761932373,1405.7310791015625,474.69873046875,1008.1205444335938,954.8849487304688,1467.60107421875,532.3577880859375,385.0316467285156,1278.91748046875,638.6266479492188,3.6836838722229004,177.24127197265625,557.295166015625,1115.30908203125,1417.0
2005-10-07,1733.7587890625,813.4009399414062,291.5642395019531,596.9791259765625,2745.91259765625,329.16412353515625,516.55322265625,1160.8231201171875,818.1070556640625,763.718505859375,615.59423828125,214.5607147216797,2839.95703125,215.8591766357422,162.68283081054688,216.63232421875,3506.70263671875,818.9795532226562,308.71087646484375,1458.8233642578125,2764.206787109375,779.1896362304688,1461.4210205078125,560.0968017578125,108.30423736572266,1278.7431640625,212.7609405517578,1362.513427734375,106.51461029052734,294.32745361328125,353.9024353027344,508.7600402832031,1345.8280029296875,402.9972229003906,848.5523071289062,639.9169921875,617.6376342773438,1828.5025634765625,125.47005462646484,281.1552734375,233.4060516357422,6.324428558349609,1396.7869873046875,465.23486328125,1012.077880859375,968.45751953125,1479.49658203125,530.621826171875,385.3464660644531,1283.330810546875,638.1315307617188,3.6740756034851074,176.41957092285156,552.824951171875,1109.6790771484375,1394.0
2005-10-10,1731.6279296875,806.4274291992188,299.7294921875,607.2379760742188,2729.04248046875,334.8692626953125,520.6856079101562,1156.8648681640625,832.4774169921875,760.0234375,624.501708984375,214.31298828125,2799.11572265625,218.50767517089844,162.68283081054688,216.08250427246094,3558.19873046875,820.968505859375,300.43353271484375,1444.8818359375,2770.360107421875,781.3466796875,1460.3931884765625,566.3687133789062,108.8010482788086,1276.536865234375,211.02304077148438,1358.7548828125,107.2560043334961,293.359375,362.1545715332031,507.8027038574219,1353.78564453125,405.467041015625,846.07275390625,638.4275512695312,615.2721557617188,1869.427001953125,127.35169219970703,279.1717224121094,234.9761199951172,6.277474880218506,1399.7681884765625,472.70648193359375,1017.0247192382812,981.2318725585938,1486.930908203125,532.0684204101562,380.93902587890625,1280.02099609375,637.1414184570312,3.7285289764404297,176.41957092285156,565.7390747070312,1127.13232421875,1430.0
2005-10-11,1772.12109375,812.9029541015625,307.09832763671875,614.5660400390625,2707.21044921875,341.318603515625,521.1448974609375,1162.8018798828125,832.4774169921875,767.4142456054688,630.9345703125,215.5517578125,2831.987548828125,218.72842407226562,162.68283081054688,211.13406372070312,3558.19873046875,819.9741821289062,291.4036560058594,1423.9705810546875,2785.741455078125,783.072509765625,1458.3331298828125,563.0451049804688,108.05581665039062,1282.053466796875,214.25045776367188,1357.8148193359375,107.7502670288086,293.1979064941406,374.6508483886719,506.8454895019531,1345.8280029296875,409.17181396484375,867.8941040039062,639.4205932617188,615.2721557617188,1862.06005859375,128.3780059814453,281.4031677246094,237.0694580078125,6.2023515701293945,1409.4580078125,472.2082824707031,999.216796875,961.2719116210938,1469.0877685546875,550.5850219726562,381.2537536621094,1297.6759033203125,640.60693359375,3.782982587814331,176.06752014160156,558.7853393554688,1114.18310546875,1423.0
2005-10-12,1766.7930908203125,795.9674682617188,306.10247802734375,609.1922607421875,2693.31640625,336.10955810546875,511.50250244140625,1139.05126953125,834.954833984375,768.2352905273438,627.4707641601562,215.79954528808594,2767.239501953125,214.5616912841797,162.68283081054688,209.75941467285156,3597.993896484375,817.4879150390625,294.2252502441406,1438.90771484375,2773.435302734375,774.8749389648438,1438.7650146484375,555.6613159179688,107.31062316894531,1266.6065673828125,211.02304077148438,1354.056640625,106.51461029052734,291.74566650390625,372.76458740234375,501.1020812988281,1290.125,406.701904296875,853.0157470703125,633.9595947265625,611.722412109375,1856.331298828125,124.79634094238281,281.1552734375,232.88282775878906,6.088729381561279,1391.5693359375,465.73284912109375,990.3129272460938,950.0944213867188,1455.70556640625,541.905517578125,382.8278503417969,1283.330810546875,631.6956787109375,3.779780387878418,175.48060607910156,559.3118286132812,1105.7381591796875,1382.0
2005-10-13,1687.9371337890625,808.9179077148438,291.3651123046875,604.79541015625,2657.591552734375,334.6212158203125,503.2376708984375,1134.1031494140625,796.7996215820312,748.1158447265625,615.59423828125,207.6234588623047,2735.36376953125,211.0298309326172,162.68283081054688,213.33335876464844,3562.880615234375,808.5372314453125,283.8785095214844,1432.9326171875,2707.29150390625,771.8549194335938,1419.1971435546875,548.2883911132812,106.56542205810547,1253.3671875,206.8025665283203,1320.2286376953125,105.03180694580078,290.1319580078125,374.4151611328125,492.0085754394531,1261.2786865234375,399.2923889160156,840.1215209960938,635.448974609375,607.5806274414062,1774.482421875,121.80264282226562,279.9156799316406,231.0511932373047,6.047411918640137,1386.3519287109375,456.7668762207031,978.44091796875,936.5216064453125,1440.836181640625,542.7735595703125,381.8834228515625,1276.7103271484375,616.843994140625,3.619619846343994,172.31134033203125,551.3642578125,1077.02490234375,1325.0
2005-10-14,1674.0845947265625,799.9519653320312,288.77606201171875,609.6807861328125,2669.499267578125,332.388671875,506.91094970703125,1148.947509765625,798.2860717773438,738.6717529296875,607.1818237304688,215.5517578125,2751.30126953125,212.1334991455078,162.68283081054688,218.55674743652344,3562.880615234375,825.4439086914062,289.89849853515625,1448.864990234375,2682.678955078125,768.4032592773438,1489.2283935546875,552.7120361328125,106.31698608398438,1257.7806396484375,210.0299530029297,1300.4954833984375,106.02033233642578,289.4866027832031,376.53704833984375,490.5729675292969,1280.1778564453125,400.5273742675781,840.1215209960938,640.413330078125,607.5806274414062,1771.2081298828125,121.20392608642578,283.88250732421875,228.17283630371094,6.056801795959473,1381.880126953125,465.73284912109375,984.3768920898438,924.5457153320312,1421.5062255859375,531.200439453125,389.7539978027344,1288.8485107421875,622.784912109375,3.6292288303375244,172.546142578125,548.3837890625,1092.2261962890625,1328.0
2005-10-17,1711.380859375,804.9332275390625,292.75921630859375,607.7266235351562,2646.67431640625,330.9004211425781,500.94183349609375,1152.9061279296875,810.1786499023438,741.5462646484375,623.01708984375,213.07412719726562,2754.2900390625,210.3675537109375,162.68283081054688,215.53269958496094,3558.19873046875,824.44921875,294.4136047363281,1438.90771484375,2682.678955078125,770.1290283203125,1483.050537109375,556.0355834960938,107.31062316894531,1253.3671875,208.54043579101562,1296.73681640625,104.53751373291016,289.32513427734375,374.4151611328125,495.83740234375,1295.098388671875,398.4691467285156,846.07275390625,634.4561157226562,608.7639770507812,1795.7630615234375,121.28948211669922,282.3949279785156,237.0694580078125,6.126291275024414,1397.5322265625,469.2196350097656,975.47265625,915.762939453125,1442.322998046875,536.4085083007812,385.0316467285156,1295.4697265625,613.3784790039062,3.6836838722229004,171.37228393554688,543.4165649414062,1095.6041259765625,1348.0
2005-10-18,1700.724609375,800.4503784179688,294.5515441894531,626.7791137695312,2593.0869140625,329.4120178222656,494.9727783203125,1168.7398681640625,810.6741333007812,740.7249755859375,613.61474609375,211.5875701904297,2746.32177734375,208.82240295410156,162.68283081054688,214.1580352783203,3558.19873046875,824.44921875,294.2252502441406,1454.83984375,2694.98486328125,769.2662963867188,1454.2132568359375,551.9747924804688,104.57814025878906,1251.16015625,206.8025665283203,1277.943115234375,104.53751373291016,288.03424072265625,372.52880859375,493.4444885253906,1299.0772705078125,399.7041931152344,845.0811767578125,627.505859375,601.073486328125,1815.4068603515625,121.20392608642578,279.419677734375,227.9111328125,6.019239902496338,1399.0228271484375,474.69873046875,974.4837036132812,913.367919921875,1434.8887939453125,540.748291015625,385.0316467285156,1281.1239013671875,620.8042602539062,3.619619846343994,171.37228393554688,538.9461059570312,1089.9742431640625,1354.0
2005-10-19,1631.4595947265625,800.9482421875,288.9752502441406,621.4050903320312,2610.94970703125,317.0476989746094,485.78961181640625,1152.9061279296875,777.4744262695312,723.4795532226562,601.7384033203125,210.34878540039062,2693.5263671875,207.27719116210938,162.68283081054688,207.0102996826172,3492.6552734375,818.4822998046875,285.0072937011719,1448.864990234375,2633.456787109375,755.4596557617188,1435.6756591796875,529.834228515625,101.59730529785156,1231.301025390625,202.3338623046875,1275.1240234375,101.5719223022461,284.6454772949219,374.8865661621094,481.95782470703125,1283.1619873046875,393.52947998046875,831.6904296875,617.5771484375,597.5234375,1746.6534423828125,117.52584838867188,275.20477294921875,221.36949157714844,5.92064094543457,1343.40478515625,460.77203369140625,967.5582275390625,892.6097412109375,1421.5062255859375,539.8802490234375,380.3092041015625,1244.7099609375,611.893310546875,3.4786789417266846,168.20321655273438,530.998291015625,1063.5128173828125,1305.0
2005-10-20,1627.197265625,798.9560546875,285.3903503417969,622.3823852539062,2561.33056640625,315.3111877441406,494.9727783203125,1155.874755859375,784.9072265625,718.9632568359375,603.2230224609375,209.11000061035156,2771.2236328125,204.8489532470703,162.68283081054688,204.2611846923828,3504.356689453125,813.0126953125,284.4429931640625,1425.9619140625,2642.685546875,757.185791015625,1441.8531494140625,546.8146362304688,101.84573364257812,1241.23046875,202.08558654785156,1277.943115234375,101.5719223022461,283.67742919921875,379.1307373046875,482.91522216796875,1288.135498046875,390.64788818359375,837.1459350585938,625.0235595703125,601.073486328125,1743.379638671875,119.23661804199219,276.69244384765625,219.7994842529297,6.1215949058532715,1334.458251953125,461.2702331542969,952.718505859375,894.2066650390625,1414.071044921875,539.8802490234375,381.2537536621094,1257.95166015625,608.9229736328125,3.5235235691070557,166.4424285888672,539.4428100585938,1068.580322265625,1297.0
2005-10-21,1603.753662109375,795.4693603515625,278.81817626953125,635.5723876953125,2576.216064453125,311.5899353027344,495.8912353515625,1162.8018798828125,772.0237426757812,721.4268188476562,600.254150390625,204.15476989746094,2762.259765625,205.51119995117188,162.68283081054688,192.43988037109375,3443.497314453125,812.5155639648438,280.68048095703125,1410.0291748046875,2614.9970703125,757.185791015625,1434.6456298828125,547.5519409179688,102.0941162109375,1213.6480712890625,203.326904296875,1270.4263916015625,104.53751373291016,284.6454772949219,375.593994140625,484.82952880859375,1313.003173828125,391.8829040527344,828.218994140625,625.5199584960938,602.2567749023438,1696.7264404296875,117.95355224609375,273.7173767089844,220.3228302001953,6.131925582885742,1337.4404296875,458.7795104980469,950.7398071289062,894.2066650390625,1402.17578125,528.307373046875,374.6423645019531,1243.6063232421875,609.4181518554688,3.4402401447296143,166.4424285888672,539.939453125,1066.890869140625,1290.0
2005-10-24,1678.346923828125,796.4655151367188,288.77606201171875,632.1526489257812,2592.094482421875,313.8226623535156,502.77862548828125,1178.63623046875,800.2683715820312,739.4931640625,610.1508178710938,203.65928649902344,2839.95703125,206.3942108154297,162.68283081054688,197.66322326660156,3569.90966796875,820.4715576171875,285.75982666015625,1421.9781494140625,2676.52734375,761.0687255859375,1455.24365234375,550.500244140625,103.58454895019531,1247.8504638671875,202.5821075439453,1299.5555419921875,104.78466033935547,290.6160888671875,378.42327880859375,492.0085754394531,1314.992431640625,396.41094970703125,830.2026977539062,628.9950561523438,607.5806274414062,1736.8321533203125,119.49312591552734,275.4528503417969,223.9861602783203,6.263391494750977,1341.16796875,462.7644958496094,967.5582275390625,905.3842163085938,1422.9927978515625,527.7286987304688,375.9017639160156,1253.5374755859375,615.3590087890625,3.574775218963623,168.20321655273438,544.9069213867188,1084.906494140625,1340.0
2005-10-25,1665.55908203125,782.0205688476562,292.1617126464844,633.1298828125,2570.26171875,315.06304931640625,505.9926452636719,1176.6566162109375,797.2952270507812,739.0825805664062,602.72802734375,202.1726837158203,2867.848388671875,205.29051208496094,162.68283081054688,196.56361389160156,3581.610107421875,818.4822998046875,290.6510009765625,1395.09228515625,2691.90966796875,756.75439453125,1418.1676025390625,544.965576171875,101.10050964355469,1246.7471923828125,202.5821075439453,1307.0733642578125,104.53751373291016,292.39105224609375,392.09844970703125,490.5729675292969,1325.9342041015625,399.7041931152344,828.218994140625,621.0520629882812,607.5806274414062,1741.742919921875,121.37499237060547,273.22137451171875,222.9395294189453,6.216438293457031,1321.7847900390625,454.2962646484375,959.6437377929688,899.7953491210938,1422.9927978515625,520.4955444335938,371.1793212890625,1244.7099609375,609.4181518554688,3.542743444442749,168.20321655273438,548.3837890625,1037.6151123046875,1306.0
2005-10-26,1766.7930908203125,792.480712890625,290.5683898925781,638.5036010742188,2569.270263671875,320.5209045410156,511.04339599609375,1182.5946044921875,827.522216796875,739.9037475585938,620.0477294921875,203.16372680664062,2848.92236328125,204.18682861328125,162.68283081054688,199.86251831054688,3663.54541015625,820.4715576171875,294.4136047363281,1389.1181640625,2654.990966796875,763.22607421875,1444.9444580078125,547.9144897460938,102.59092712402344,1266.6065673828125,203.5751495361328,1284.52099609375,104.78466033935547,295.1343688964844,390.2123107910156,481.95782470703125,1330.907470703125,391.8829040527344,843.0970458984375,616.5841064453125,604.0305786132812,1749.1090087890625,122.23033905029297,275.94873046875,225.5560760498047,6.300951957702637,1344.14990234375,449.8131103515625,956.6757202148438,926.9408569335938,1402.17578125,531.200439453125,374.3276672363281,1256.84765625,606.447509765625,3.613213062286377,167.02932739257812,558.3182983398438,1051.689697265625,1336.0
